date,price
9/1/2019,3.102
10/1/2019,3.119
11/1/2019,3.189
12/1/2019,3.188
1/1/2020,3.253
2/1/2020,3.196
3/1/2020,3.248
4/1/2020,3.267
5/1/2020,3.21
6/1/2020,3.198
7/1/2020,3.255
8/1/2020,3.406
9/1/2020,3.448
10/1/2020,3.38
11/1/2020,3.425
12/1/2020,3.535
1/1/2021,3.468
2/1/2021,3.368
3/1/2021,3.348
4/1/2021,3.447
5/1/2021,3.497
6/1/2021,3.557
7/1/2021,3.627
8/1/2021,3.56
9/1/2021,3.585
10/1/2021,3.663
11/1/2021,3.671
12/1/2021,3.743
1/1/2022,3.787
2/1/2022,3.875
3/1/2022,3.917
4/1/2022,4.012
5/1/2022,4.204
6/1/2022,4.153
7/1/2022,4.156
8/1/2022,4.194
9/1/2022,4.181
10/1/2022,4.184
11/1/2022,4.218
12/1/2022,4.211
1/1/2023,4.204
